"Sector","Count","ConflictType","Scenario","Runway","Run"
"ACC_ZAGREB",2,"Crossing Both Cruising","Current","1","1"
"ACC_ZAGREB",1,"Crossing Both Cruising","Current","1","2"
"ACC_ZAGREB",1,"Crossing Both Cruising","Current","1","3"
"ACC_ZAGREB",1,"Crossing Both Cruising","Current","1","4"
"ACC_ZAGREB",1,"Crossing Both Cruising","Current","2","4"
"ACC_ZAGREB",2,"Crossing Both Cruising","Current","2","5"
"ACC_ZAGREB",1,"Crossing Both Cruising","PBN","1","2"
"ACC_ZAGREB",1,"Crossing Both Cruising","PBN","1","3"
"ACC_ZAGREB",1,"Crossing Both Cruising","PBN","1","5"
"ACC_ZAGREB",3,"Crossing Both In Vertical","Current","1","1"
"ACC_ZAGREB",2,"Crossing Both In Vertical","Current","1","2"
"ACC_ZAGREB",3,"Crossing Both In Vertical","Current","1","3"
"ACC_ZAGREB",3,"Crossing Both In Vertical","Current","1","4"
"ACC_ZAGREB",1,"Crossing Both In Vertical","Current","1","5"
"ACC_ZAGREB",1,"Crossing Both In Vertical","Current","2","1"
"ACC_ZAGREB",2,"Crossing Both In Vertical","Current","2","2"
"ACC_ZAGREB",3,"Crossing Both In Vertical","Current","2","3"
"ACC_ZAGREB",4,"Crossing Both In Vertical","Current","2","4"
"ACC_ZAGREB",2,"Crossing Both In Vertical","Current","2","5"
"ACC_ZAGREB",1,"Crossing Both In Vertical","PBN","1","1"
"ACC_ZAGREB",2,"Crossing Both In Vertical","PBN","1","2"
"ACC_ZAGREB",2,"Crossing Both In Vertical","PBN","1","3"
"ACC_ZAGREB",3,"Crossing Both In Vertical","PBN","1","4"
"ACC_ZAGREB",1,"Crossing Both In Vertical","PBN","1","5"
"ACC_ZAGREB",1,"Crossing Both In Vertical","PBN","2","1"
"ACC_ZAGREB",2,"Crossing Both In Vertical","PBN","2","2"
"ACC_ZAGREB",1,"Crossing Both In Vertical","PBN","2","4"
"ACC_ZAGREB",1,"Crossing Both In Vertical","PBN","2","5"
"ACC_ZAGREB",2,"Crossing One In Vertical","Current","1","1"
"ACC_ZAGREB",1,"Crossing One In Vertical","Current","1","2"
"ACC_ZAGREB",3,"Crossing One In Vertical","Current","1","3"
"ACC_ZAGREB",3,"Crossing One In Vertical","Current","1","4"
"ACC_ZAGREB",1,"Crossing One In Vertical","Current","1","5"
"ACC_ZAGREB",6,"Crossing One In Vertical","Current","2","1"
"ACC_ZAGREB",5,"Crossing One In Vertical","Current","2","2"
"ACC_ZAGREB",2,"Crossing One In Vertical","Current","2","3"
"ACC_ZAGREB",5,"Crossing One In Vertical","Current","2","4"
"ACC_ZAGREB",3,"Crossing One In Vertical","Current","2","5"
"ACC_ZAGREB",2,"Crossing One In Vertical","PBN","1","1"
"ACC_ZAGREB",2,"Crossing One In Vertical","PBN","1","2"
"ACC_ZAGREB",3,"Crossing One In Vertical","PBN","1","3"
"ACC_ZAGREB",4,"Crossing One In Vertical","PBN","1","4"
"ACC_ZAGREB",3,"Crossing One In Vertical","PBN","1","5"
"ACC_ZAGREB",1,"Crossing One In Vertical","PBN","2","1"
"ACC_ZAGREB",4,"Crossing One In Vertical","PBN","2","2"
"ACC_ZAGREB",2,"Crossing One In Vertical","PBN","2","3"
"ACC_ZAGREB",5,"Crossing One In Vertical","PBN","2","4"
"ACC_ZAGREB",2,"Crossing One In Vertical","PBN","2","5"
"ACC_ZAGREB",1,"Opposite Both Cruising","Current","1","2"
"ACC_ZAGREB",2,"Opposite Both Cruising","Current","2","3"
"ACC_ZAGREB",1,"Opposite Both Cruising","Current","2","5"
"ACC_ZAGREB",1,"Opposite Both Cruising","PBN","1","2"
"ACC_ZAGREB",3,"Opposite Both Cruising","PBN","1","5"
"ACC_ZAGREB",1,"Opposite Both Cruising","PBN","2","1"
"ACC_ZAGREB",14,"Opposite Both In Vertical","Current","1","1"
